source_deposit,LABEL,LONGITUDE,LATITUDE,PROVINCEID
,0,123.69405095726108,-23.60689467730981,GA.GeologicProvince.466191
,0,120.94761655439844,-20.26394985828625,GA.GeologicProvince.466206
Kangiara,1,148.78960868321775,-34.632571594657286,
,0,133.10234480585726,-15.49959596381417,GA.GeologicProvince.468269
,0,137.81316275786378,-19.288715191215537,GA.GeologicProvince.468269
,0,146.65037716238743,-35.54729359091213,GA.GeologicProvince.559178
,0,131.37336504412315,-23.727796518738103,GA.GeologicProvince.364772
,0,145.2556234430643,-20.84650186584989,GA.GeologicProvince.20489
,0,127.72956317043274,-23.257928936090337,GA.GeologicProvince.364772
,0,152.20237961620197,-31.72837195174185,GA.GeologicProvince.40540
,0,146.22768937802135,-27.6837987996958,GA.GeologicProvince.20489
,0,129.90064681821198,-22.5745891845734,GA.GeologicProvince.467256
Mag H1,1,147.46285777036542,-34.298499982261895,
,0,133.44599999254527,-24.15729349023672,GA.GeologicProvince.364772
,0,137.75180147820743,-31.539750262685462,GA.GeologicProvince.529788
Briggs,1,150.71050919758392,-24.00977877425793,
,0,129.58537656777224,-27.693060465144427,GA.GeologicProvince.22115
Ridgeway,1,148.95739267738838,-33.43928237112471,
,0,133.0102178509583,-28.101763749180623,GA.GeologicProvince.529302
,0,121.77429441722576,-22.79787392973837,GA.GeologicProvince.466901
,0,132.7728929404459,-18.37026828434962,GA.GeologicProvince.468043
,0,116.88130527904482,-24.916076337682377,GA.GeologicProvince.466901
,0,131.42442646459207,-22.52154311140093,GA.GeologicProvince.467256
,0,129.72442754427243,-19.313502000775525,GA.GeologicProvince.468269
,0,130.45751841728074,-22.577802585039244,GA.GeologicProvince.22113
